[2025-11-21 14:33:15.601660] call_id: 227381896905 recording_url_id: 1760600288.370410 error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'The model is overloaded. Please try again later.', 'status': 'UNAVAILABLE'}}
[2025-11-21 14:33:39.872715] call_id: 227072007866 recording_url_id: 1760601963.102295 error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'The model is overloaded. Please try again later.', 'status': 'UNAVAILABLE'}}
[2025-11-21 14:34:03.715306] call_id: 227128638168 recording_url_id: 1760607850.4207 error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'The model is overloaded. Please try again later.', 'status': 'UNAVAILABLE'}}
[2025-11-21 14:34:36.014796] call_id: 227132235500 recording_url_id: 1760609057.176801 error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'The model is overloaded. Please try again later.', 'status': 'UNAVAILABLE'}}
[2025-11-21 14:34:59.000388] call_id: 227497085649 recording_url_id: 1760609719.396101 error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'The model is overloaded. Please try again later.', 'status': 'UNAVAILABLE'}}
[2025-11-21 14:37:10.238725] call_id: 227576731373 recording_url_id: 1760617549.116176 error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'The model is overloaded. Please try again later.', 'status': 'UNAVAILABLE'}}
[2025-11-21 14:43:24.709811] call_id: 227250767550 recording_url_id: 1760590345.179153 error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'The model is overloaded. Please try again later.', 'status': 'UNAVAILABLE'}}
[2025-11-21 14:43:51.015236] call_id: 227363906287 recording_url_id: 1760598473.260136 error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'The model is overloaded. Please try again later.', 'status': 'UNAVAILABLE'}}
[2025-11-21 14:44:59.499592] call_id: 227072007866 recording_url_id: 1760601963.102295 error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'The model is overloaded. Please try again later.', 'status': 'UNAVAILABLE'}}
[2025-11-21 14:45:26.741551] call_id: 227128638168 recording_url_id: 1760607850.4207 error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'The model is overloaded. Please try again later.', 'status': 'UNAVAILABLE'}}
[2025-11-21 14:47:26.020960] call_id: 227576731373 recording_url_id: 1760617549.116176 error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'The model is overloaded. Please try again later.', 'status': 'UNAVAILABLE'}}
[2025-11-21 14:47:52.373795] call_id: 227578682101 recording_url_id: 1760618802.26171 error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'The model is overloaded. Please try again later.', 'status': 'UNAVAILABLE'}}
[2025-11-21 15:05:19.667197] call_id: 227128638168 recording_url_id: 1760607850.4207 error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'The model is overloaded. Please try again later.', 'status': 'UNAVAILABLE'}}
[2025-11-21 15:05:45.782912] call_id: 227576731373 recording_url_id: 1760617549.116176 error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'The model is overloaded. Please try again later.', 'status': 'UNAVAILABLE'}}
[2025-11-21 15:06:53.700395] call_id: 228346905292 recording_url_id: 1760683492.132927 error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'The model is overloaded. Please try again later.', 'status': 'UNAVAILABLE'}}
[2025-11-21 15:07:22.754008] call_id: 228352312048 recording_url_id: 1760684603.134034 error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'The model is overloaded. Please try again later.', 'status': 'UNAVAILABLE'}}
[2025-11-21 15:07:51.702615] call_id: 228262749884 recording_url_id: 1760686289.135669 error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'The model is overloaded. Please try again later.', 'status': 'UNAVAILABLE'}}
[2025-11-24 09:41:12.692745] call_id: 227128638168 recording_url_id: 1760607850.4207 error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'The model is overloaded. Please try again later.', 'status': 'UNAVAILABLE'}}
[2025-11-24 09:41:12.907732] call_id: 228346905292 recording_url_id: 1760683492.132927 error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'The model is overloaded. Please try again later.', 'status': 'UNAVAILABLE'}}
[2025-11-24 09:41:13.569743] call_id: 229528032971 recording_url_id: 1760765397.559967 error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'The model is overloaded. Please try again later.', 'status': 'UNAVAILABLE'}}
[2025-11-24 09:41:13.675015] call_id: 228957482732 recording_url_id: 1760714223.165210 error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'The model is overloaded. Please try again later.', 'status': 'UNAVAILABLE'}}
[2025-11-24 09:41:13.769231] call_id: 227576731373 recording_url_id: 1760617549.116176 error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'The model is overloaded. Please try again later.', 'status': 'UNAVAILABLE'}}
[2025-11-24 09:41:13.770700] call_id: 228352312048 recording_url_id: 1760684603.134034 error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'The model is overloaded. Please try again later.', 'status': 'UNAVAILABLE'}}
[2025-11-24 09:41:14.746567] call_id: 229517322974 recording_url_id: 1760771249.414217 error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'The model is overloaded. Please try again later.', 'status': 'UNAVAILABLE'}}
[2025-11-24 09:41:14.828372] call_id: 229513806579 recording_url_id: 1760777492.423089 error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'The model is overloaded. Please try again later.', 'status': 'UNAVAILABLE'}}
[2025-11-24 09:41:14.974003] call_id: 228262749884 recording_url_id: 1760686289.135669 error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'The model is overloaded. Please try again later.', 'status': 'UNAVAILABLE'}}
[2025-11-24 15:37:00] [ERROR] 1762172946.116665 cannot find rating in summary.[2025-11-25 11:41:35.410773] call_id: 233988281023 recording_url_id: 1761201172.286900 error: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 10, model: gemini-2.5-flash\nPlease retry in 25.249426224s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '10'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '25s'}]}}
[2025-11-26 11:59:12.113728] call_id: 250250065629 recording_url_id: None error: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 10, model: gemini-2.5-flash\nPlease retry in 47.772275909s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '10'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '47s'}]}}
